                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.72663,                0.50064,                0.91718,                0.97975,                0.92331,                0.96646,                0.80098,                0.60848,                0.40468,                0.87359,                 0.0016,                 0.0016,                 0.0016
                    104,                0.68675,                0.48705,                0.94364,                0.94217,                0.94955,                0.96973,                0.81371,                0.58038,                 0.4046,                0.86636,              0.0015961,              0.0015961,              0.0015961
                    105,                0.69817,                0.49374,                0.93239,                 0.9491,                0.93252,                0.96547,                0.80122,                0.61063,                0.43583,                0.87655,              0.0015921,              0.0015921,              0.0015921
                    106,                0.68854,                0.47889,                0.92531,                0.96838,                0.93947,                0.97162,                0.80912,                0.56862,                0.38924,                0.86085,              0.0015882,              0.0015882,              0.0015882
                    107,                0.68653,                0.46469,                0.94008,                0.97479,                0.94479,                0.97752,                0.81395,                0.56776,                0.37627,                0.85958,              0.0015842,              0.0015842,              0.0015842
                    108,                0.65072,                0.46528,                0.91736,                 0.9597,                0.94971,                0.97711,                0.81502,                0.56736,                0.39045,                0.86233,              0.0015802,              0.0015802,              0.0015802
                    109,                0.67184,                0.47501,                0.92085,                0.95896,                0.93865,                0.96933,                0.81658,                0.55205,                0.39453,                0.86241,              0.0015763,              0.0015763,              0.0015763
                    110,                 0.6656,                0.43968,                0.91831,                0.98091,                0.94548,                0.97697,                 0.8109,                 0.5767,                0.40159,                0.86288,              0.0015723,              0.0015723,              0.0015723
                    111,                0.64566,                0.47658,                0.91361,                0.96017,                0.94785,                 0.9751,                0.82067,                 0.5565,                0.39351,                 0.8619,              0.0015684,              0.0015684,              0.0015684
                    112,                0.68209,                 0.4812,                 0.9162,                0.97615,                0.93558,                0.97299,                0.80613,                0.61863,                0.40255,                 0.8775,              0.0015644,              0.0015644,              0.0015644
                    113,                0.66481,                0.47548,                0.92309,                0.97763,                0.93844,                0.97085,                 0.8234,                 0.5581,                0.38483,                0.86355,              0.0015604,              0.0015604,              0.0015604
                    114,                0.63607,                0.44046,                0.91845,                0.97164,                0.94576,                0.97597,                0.82619,                0.54694,                0.37849,                0.85495,              0.0015565,              0.0015565,              0.0015565
                    115,                0.62917,                0.45964,                0.89948,                0.97488,                0.95706,                0.97781,                0.84168,                0.51027,                 0.3579,                0.84421,              0.0015525,              0.0015525,              0.0015525
                    116,                 0.6354,                 0.4473,                0.88857,                0.96313,                0.96168,                0.97575,                0.81768,                0.55425,                0.36848,                0.85317,              0.0015486,              0.0015486,              0.0015486
                    117,                 0.6364,                0.45848,                0.89734,                0.96913,                0.96287,                0.97493,                0.81658,                0.56922,                0.37777,                0.85935,              0.0015446,              0.0015446,              0.0015446
                    118,                0.65878,                0.46082,                0.91385,                0.96928,                0.96933,                0.97532,                0.82074,                0.54133,                0.38408,                0.85896,              0.0015406,              0.0015406,              0.0015406
                    119,                0.65918,                0.43234,                0.91861,                0.97356,                0.95399,                0.98049,                0.82379,                0.55768,                0.37043,                0.86695,              0.0015367,              0.0015367,              0.0015367
                    120,                0.65601,                0.43581,                0.90685,                0.96285,                0.95404,                 0.9787,                0.82113,                0.57828,                 0.3729,                0.86528,              0.0015327,              0.0015327,              0.0015327
                    121,                 0.6711,                0.45621,                0.93701,                 0.9665,                0.96319,                0.97688,                0.83762,                0.53578,                0.35663,                 0.8552,              0.0015288,              0.0015288,              0.0015288
                    122,                0.62057,                0.43083,                0.90529,                0.97864,                0.96012,                0.97838,                0.83186,                0.54373,                0.36612,                0.85534,              0.0015248,              0.0015248,              0.0015248
                    123,                0.63976,                0.43771,                0.91914,                 0.9723,                0.96917,                0.98084,                 0.8279,                0.55569,                 0.3695,                 0.8599,              0.0015208,              0.0015208,              0.0015208
                    124,                0.63431,                0.42974,                0.90586,                0.96622,                0.96508,                0.98084,                0.82917,                0.57318,                0.36627,                0.86587,              0.0015169,              0.0015169,              0.0015169
                    125,                0.66425,                0.45465,                0.91491,                0.96016,                0.97239,                0.98693,                  0.819,                0.59615,                0.38267,                0.87066,              0.0015129,              0.0015129,              0.0015129
                    126,                0.61426,                0.42188,                0.90521,                0.97475,                0.94735,                0.98081,                0.83207,                 0.5378,                0.36348,                0.85444,               0.001509,               0.001509,               0.001509
                    127,                0.63817,                0.42869,                0.91819,                0.97234,                0.97065,                0.98885,                0.84515,                0.53368,                0.35032,                 0.8508,               0.001505,               0.001505,               0.001505
                    128,                0.61772,                0.42508,                0.89608,                0.97555,                0.97546,                0.98678,                0.84847,                0.51902,                0.33939,                0.85143,               0.001501,               0.001501,               0.001501
                    129,                0.59834,                0.42467,                0.90536,                 0.9731,                0.96933,                0.98078,                0.84576,                 0.5252,                0.34251,                 0.8507,              0.0014971,              0.0014971,              0.0014971
                    130,                0.63723,                 0.4233,                0.91783,                0.97253,                0.96012,                0.97939,                0.84869,                0.51041,                0.35214,                0.84603,              0.0014931,              0.0014931,              0.0014931
                    131,                0.60465,                0.41961,                0.89116,                0.98329,                0.96319,                0.98178,                0.84738,                0.51032,                0.34353,                0.84238,              0.0014892,              0.0014892,              0.0014892
                    132,                0.61574,                0.42583,                0.89468,                0.98293,                0.96012,                0.98147,                0.83989,                0.52323,                0.34581,                0.84212,              0.0014852,              0.0014852,              0.0014852
                    133,                0.63718,                 0.4328,                0.90867,                0.97543,                0.97432,                 0.9823,                0.84173,                0.51943,                0.35003,                 0.8428,              0.0014812,              0.0014812,              0.0014812
                    134,                0.63947,                0.45816,                0.92089,                0.97305,                0.93865,                0.98029,                 0.8212,                0.54585,                 0.3666,                0.84859,              0.0014773,              0.0014773,              0.0014773
                    135,                0.62226,                0.43906,                0.89193,                0.97484,                0.95092,                0.98296,                 0.8228,                 0.5336,                0.36989,                 0.8508,              0.0014733,              0.0014733,              0.0014733
                    136,                0.61681,                0.42631,                0.89203,                0.97182,                0.95092,                0.97944,                 0.8375,                0.52606,                 0.3637,                 0.8439,              0.0014694,              0.0014694,              0.0014694
                    137,                0.59109,                0.42391,                0.90138,                0.94901,                0.97061,                0.97729,                0.84072,                0.51463,                0.36225,                0.84367,              0.0014654,              0.0014654,              0.0014654
                    138,                 0.6039,                0.41933,                0.90258,                0.96895,                0.95731,                0.97358,                0.85512,                 0.4913,                 0.3427,                0.83922,              0.0014614,              0.0014614,              0.0014614
                    139,                 0.5979,                0.40871,                0.89574,                0.97214,                0.96341,                0.97198,                0.84975,                0.49061,                0.34126,                0.83539,              0.0014575,              0.0014575,              0.0014575
                    140,                0.58893,                0.40146,                0.88661,                0.97769,                0.93558,                0.97528,                0.85046,                0.48065,                0.34264,                0.83641,              0.0014535,              0.0014535,              0.0014535
                    141,                0.57634,                0.42177,                0.88344,                0.97238,                0.96319,                0.98235,                0.84228,                0.52936,                0.35526,                0.85069,              0.0014496,              0.0014496,              0.0014496
                    142,                0.55784,                0.39476,                0.87868,                0.97828,                0.96723,                0.97829,                0.85281,                 0.5085,                0.34838,                0.83796,              0.0014456,              0.0014456,              0.0014456
                    143,                0.60557,                0.42262,                0.87652,                0.97165,                0.96012,                 0.9823,                 0.8544,                0.48619,                0.34249,                0.83206,              0.0014416,              0.0014416,              0.0014416
                    144,                0.59118,                 0.4112,                0.90128,                 0.9723,                0.96894,                0.98902,                0.85626,                0.48985,                0.33858,                0.83323,              0.0014377,              0.0014377,              0.0014377
                    145,                0.56312,                0.40733,                0.89196,                0.97802,                0.97853,                0.99092,                0.84403,                0.51071,                0.34033,                 0.8372,              0.0014337,              0.0014337,              0.0014337
                    146,                0.57822,                0.38316,                0.89055,                0.98759,                0.97639,                0.99152,                 0.8567,                0.46315,                0.32409,                0.82939,              0.0014298,              0.0014298,              0.0014298
                    147,                0.52588,                0.38497,                0.86921,                0.96799,                0.97853,                0.98921,                0.86702,                 0.4559,                 0.3237,                0.82642,              0.0014258,              0.0014258,              0.0014258
                    148,                0.55765,                0.37614,                0.90466,                0.97761,                0.97853,                 0.9885,                0.86231,                0.46023,                0.32116,                0.83401,              0.0014218,              0.0014218,              0.0014218
                    149,                0.59194,                0.42504,                0.89759,                0.97896,                0.96626,                0.98568,                0.85905,                0.47968,                0.32936,                0.83423,              0.0014179,              0.0014179,              0.0014179
                    150,                0.60008,                0.41495,                0.90054,                0.98381,                0.95399,                0.98706,                0.85826,                0.47794,                0.33121,                0.83371,              0.0014139,              0.0014139,              0.0014139
                    151,                0.55925,                0.37339,                0.86368,                0.98057,                0.97853,                0.98881,                0.85865,                0.48455,                0.32739,                0.83595,                0.00141,                0.00141,                0.00141
                    152,                0.57352,                0.37597,                0.89136,                 0.9837,                0.96933,                0.98636,                0.86803,                0.46632,                0.32181,                0.82789,               0.001406,               0.001406,               0.001406
                    153,                0.55941,                0.40659,                0.87093,                0.98343,                0.95399,                 0.9809,                0.86557,                0.45813,                0.31895,                0.82807,               0.001402,               0.001402,               0.001402
